name,num_backers,funding_target,total_raised
"""60""",3658.0,Almodovar Dystopia of Antonio Ramos &amp; the GangBangers by Antonio Ramos —,"$18,000"
"""60""",3658.0,Almodovar Dystopia of Antonio Ramos &amp; the GangBangers by Antonio Ramos —,"$18,000"
"""122""",6895.0,The Final Frontier - A Broadside Portfolio by Thornwillow —,"$2,000"
"""73""",3585.0,Seeing the City: Open House New York Weekend in Photos by Open House New York —,"$30,000"
"""60""",3658.0,Almodovar Dystopia of Antonio Ramos &amp; the GangBangers by Antonio Ramos —,"$18,000"
"""163""",14449.0,Radical Networks by Sarah Grant —,"$18,000"
"""60""",3658.0,Almodovar Dystopia of Antonio Ramos &amp; the GangBangers by Antonio Ramos —,"$18,000"
"""73""",3585.0,Seeing the City: Open House New York Weekend in Photos by Open House New York —,"$30,000"
"""73""",3585.0,Seeing the City: Open House New York Weekend in Photos by Open House New York —,"$30,000"
"""163""",14449.0,Radical Networks by Sarah Grant —,"$18,000"
"""73""",3585.0,Seeing the City: Open House New York Weekend in Photos by Open House New York —,"$30,000"
"""73""",3585.0,Seeing the City: Open House New York Weekend in Photos by Open House New York —,"$30,000"
"""163""",14449.0,Radical Networks by Sarah Grant —,"$18,000"
"""93""",7252.66,Transform Bruce Haack’s ELECTRIC LUCIFER into a rock opera by Jim Findlay —,"$10,000"
"""163""",14449.0,Radical Networks by Sarah Grant —,"$18,000"
"""163""",14449.0,Radical Networks by Sarah Grant —,"$18,000"
"""93""",7252.66,Transform Bruce Haack’s ELECTRIC LUCIFER into a rock opera by Jim Findlay —,"$10,000"
"""93""",7252.66,Transform Bruce Haack’s ELECTRIC LUCIFER into a rock opera by Jim Findlay —,"$10,000"
"""93""",7252.66,Transform Bruce Haack’s ELECTRIC LUCIFER into a rock opera by Jim Findlay —,"$10,000"
"""93""",7252.66,Transform Bruce Haack’s ELECTRIC LUCIFER into a rock opera by Jim Findlay —,"$10,000"
"""60""",9536.0,IDOL LIGHT launches light centric scientific glass jewelry by Machele Nettles + Idol Light —,"$10,000"
"""157""",10425.0,Blights Out for Mayor by Blights Out —,"$12,500"
"""157""",10425.0,Blights Out for Mayor by Blights Out —,"$12,500"
"""60""",9536.0,IDOL LIGHT launches light centric scientific glass jewelry by Machele Nettles + Idol Light —,"$10,000"
"""60""",9536.0,IDOL LIGHT launches light centric scientific glass jewelry by Machele Nettles + Idol Light —,"$10,000"
"""157""",10425.0,Blights Out for Mayor by Blights Out —,"$12,500"
"""157""",10425.0,Blights Out for Mayor by Blights Out —,"$12,500"
"""240""",8877.0,Is'nana the Were-Spider: Volume 2 by Greg Anderson-Elysee —,"$10,000"
"""157""",10425.0,Blights Out for Mayor by Blights Out —,"$12,500"
"""60""",9536.0,IDOL LIGHT launches light centric scientific glass jewelry by Machele Nettles + Idol Light —,"$10,000"
"""157""",10425.0,Blights Out for Mayor by Blights Out —,"$12,500"
"""60""",9536.0,IDOL LIGHT launches light centric scientific glass jewelry by Machele Nettles + Idol Light —,"$10,000"
"""240""",8877.0,Is'nana the Were-Spider: Volume 2 by Greg Anderson-Elysee —,"$10,000"
"""240""",8877.0,Is'nana the Were-Spider: Volume 2 by Greg Anderson-Elysee —,"$10,000"
"""240""",8877.0,Is'nana the Were-Spider: Volume 2 by Greg Anderson-Elysee —,"$10,000"
"""240""",8877.0,Is'nana the Were-Spider: Volume 2 by Greg Anderson-Elysee —,"$10,000"
"""17""",344.0,Toaster Dude - Book 1 by soaporsalad —,$500
"""17""",344.0,Toaster Dude - Book 1 by soaporsalad —,$500
"""1484""",125956.0,Lovebox | A simple and generous way to send love messages by Lovebox —,"$58,775"
"""1484""",125956.0,Lovebox | A simple and generous way to send love messages by Lovebox —,"$58,775"
"""613""",42270.0,The Flying Martha Ornithopter by Emily Fischer —,"$30,000"
"""613""",42270.0,The Flying Martha Ornithopter by Emily Fischer —,"$30,000"
"""1484""",125956.0,Lovebox | A simple and generous way to send love messages by Lovebox —,"$58,775"
"""1484""",125956.0,Lovebox | A simple and generous way to send love messages by Lovebox —,"$58,775"
"""613""",42270.0,The Flying Martha Ornithopter by Emily Fischer —,"$30,000"
"""613""",42270.0,The Flying Martha Ornithopter by Emily Fischer —,"$30,000"
"""760""",72541.0,SPLATWARE | One of a kind tableware by Granby Workshop —,"$52,966"
"""760""",72541.0,SPLATWARE | One of a kind tableware by Granby Workshop —,"$52,966"
"""760""",72541.0,SPLATWARE | One of a kind tableware by Granby Workshop —,"$52,966"
"""90""",9237.0,We're All Going To Die - The Festival by Stefan Hunt —,"$23,482"
